"fips","pop2025","pop2020","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
13121,1096737,1069333,"Georgia","GA",0.025627190033413294,"Fulton County","Fulton County","georgia/fulton-county",527,2081.0948766603415,1
13135,1016136,958378,"Georgia","GA",0.06026640845261477,"Gwinnett County","Gwinnett County","georgia/gwinnett-county",431,2357.6241299303942,2
13067,793868,766383,"Georgia","GA",0.03586326940968165,"Cobb County","Cobb County","georgia/cobb-county",340,2334.9058823529413,3
13089,772567,764630,"Georgia","GA",0.01038018387978501,"DeKalb County","DeKalb County","georgia/dekalb-county",268,2882.7126865671644,4
13051,309915,295076,"Georgia","GA",0.05028873917228105,"Chatham County","Chatham County","georgia/chatham-county",433,715.7390300230946,5
13057,299783,268169,"Georgia","GA",0.11788834652774938,"Cherokee County","Cherokee County","georgia/cherokee-county",421,712.0736342042755,6
13063,296026,299440,"Georgia","GA",-0.011401282393801782,"Clayton County","Clayton County","georgia/clayton-county",142,2084.6901408450703,7
13117,285657,252911,"Georgia","GA",0.1294763770654499,"Forsyth County","Forsyth County","georgia/forsyth-county",225,1269.5866666666666,8
13151,263696,241867,"Georgia","GA",0.09025208068897372,"Henry County","Henry County","georgia/henry-county",319,826.6332288401254,9
13139,225242,203409,"Georgia","GA",0.10733546696557172,"Hall County","Hall County","georgia/hall-county",393,573.1348600508906,10
13245,206960,206557,"Georgia","GA",0.0019510353074454478,"Richmond County","Richmond County","georgia/richmond-county",324,638.7654320987655,11
13215,201701,207015,"Georgia","GA",-0.025669637465884132,"Muscogee County","Muscogee County","georgia/muscogee-county",217,929.4976958525345,12
13223,193563,169576,"Georgia","GA",0.14145279992451765,"Paulding County","Paulding County","georgia/paulding-county",312,620.3942307692307,13
13153,177839,164358,"Georgia","GA",0.08202217111427501,"Houston County","Houston County","georgia/houston-county",376,472.9760638297872,14
13073,169474,156869,"Georgia","GA",0.08035367089737289,"Columbia County","Columbia County","georgia/columbia-county",290,584.3931034482758,15
13077,160197,146759,"Georgia","GA",0.09156508289099818,"Coweta County","Coweta County","georgia/coweta-county",441,363.25850340136054,16
13021,157436,157038,"Georgia","GA",0.0025344184210192022,"Bibb County","Bibb County","georgia/bibb-county",249,632.2730923694779,17
13097,154373,144678,"Georgia","GA",0.06701087933203387,"Douglas County","Douglas County","georgia/douglas-county",200,771.865,18
13045,132529,119487,"Georgia","GA",0.10914994936687683,"Carroll County","Carroll County","georgia/carroll-county",499,265.58917835671343,19
13059,129652,128547,"Georgia","GA",0.008596077699207338,"Clarke County","Clarke County","georgia/clarke-county",119,1089.5126050420167,20
13217,127491,112897,"Georgia","GA",0.12926827107894812,"Newton County","Newton County","georgia/newton-county",274,465.2956204379562,21
13113,126516,119512,"Georgia","GA",0.05860499364080596,"Fayette County","Fayette County","georgia/fayette-county",195,648.8,22
13185,123364,118432,"Georgia","GA",0.04164415022966761,"Lowndes County","Lowndes County","georgia/lowndes-county",497,248.21730382293762,23
13015,120039,109321,"Georgia","GA",0.09804154736967274,"Bartow County","Bartow County","georgia/bartow-county",459,261.52287581699346,24
13297,112806,97136,"Georgia","GA",0.1613202108384122,"Walton County","Walton County","georgia/walton-county",327,344.9724770642202,25
13313,105993,102794,"Georgia","GA",0.031120493414012573,"Whitfield County","Whitfield County","georgia/whitfield-county",290,365.49310344827586,26
13115,102373,98583,"Georgia","GA",0.03844476228152938,"Floyd County","Floyd County","georgia/floyd-county",510,200.7313725490196,27
13013,99577,84006,"Georgia","GA",0.18535580791848205,"Barrow County","Barrow County","georgia/barrow-county",161,618.4906832298136,28
13247,98957,93617,"Georgia","GA",0.05704092205475497,"Rockdale County","Rockdale County","georgia/rockdale-county",130,761.2076923076924,29
13157,98927,76740,"Georgia","GA",0.2891191034662497,"Jackson County","Jackson County","georgia/jackson-county",340,290.96176470588233,30
13127,86851,84490,"Georgia","GA",0.027944135400639114,"Glynn County","Glynn County","georgia/glynn-county",420,206.78809523809525,31
13031,86576,79918,"Georgia","GA",0.08331039315298172,"Bulloch County","Bulloch County","georgia/bulloch-county",676,128.07100591715977,32
13095,82201,85161,"Georgia","GA",-0.0347576942497152,"Dougherty County","Dougherty County","georgia/dougherty-county",329,249.85106382978722,33
13103,74747,65192,"Georgia","GA",0.14656706344336734,"Effingham County","Effingham County","georgia/effingham-county",479,156.04801670146136,34
13285,72069,69348,"Georgia","GA",0.03923689219588167,"Troup County","Troup County","georgia/troup-county",414,174.07971014492753,35
13255,70592,67465,"Georgia","GA",0.04634995923812357,"Spalding County","Spalding County","georgia/spalding-county",196,360.16326530612247,36
13295,69270,67747,"Georgia","GA",0.02248070025240967,"Walker County","Walker County","georgia/walker-county",446,155.31390134529147,37
13179,68979,65339,"Georgia","GA",0.05570945377186676,"Liberty County","Liberty County","georgia/liberty-county",516,133.68023255813952,38
13047,68945,68007,"Georgia","GA",0.013792697810519616,"Catoosa County","Catoosa County","georgia/catoosa-county",162,425.58641975308643,39
13129,61686,57729,"Georgia","GA",0.06854440575793785,"Gordon County","Gordon County","georgia/gordon-county",356,173.27528089887642,40
13039,60207,54929,"Georgia","GA",0.09608767681916652,"Camden County","Camden County","georgia/camden-county",630,95.56666666666666,41
13029,52334,45044,"Georgia","GA",0.16184175472870965,"Bryan County","Bryan County","georgia/bryan-county",438,119.48401826484019,42
13175,50642,49542,"Georgia","GA",0.022203382988171594,"Laurens County","Laurens County","georgia/laurens-county",807,62.75340768277571,43
13137,50479,46140,"Georgia","GA",0.09403987863025565,"Habersham County","Habersham County","georgia/habersham-county",277,182.23465703971118,44
13071,47439,45901,"Georgia","GA",0.0335068952746127,"Colquitt County","Colquitt County","georgia/colquitt-county",547,86.72577696526508,45
13275,46442,45786,"Georgia","GA",0.014327523697200029,"Thomas County","Thomas County","georgia/thomas-county",545,85.21467889908257,46
13219,45246,42025,"Georgia","GA",0.0766448542534206,"Oconee County","Oconee County","georgia/oconee-county",184,245.90217391304347,47
13233,44857,42922,"Georgia","GA",0.0450817762452822,"Polk County","Polk County","georgia/polk-county",310,144.7,48
13069,44238,43058,"Georgia","GA",0.027404895722049405,"Coffee County","Coffee County","georgia/coffee-county",592,74.72635135135135,49
13009,43865,43793,"Georgia","GA",0.0016440983718859492,"Baldwin County","Baldwin County","georgia/baldwin-county",259,169.36293436293437,50
13277,41796,41391,"Georgia","GA",0.009784735812133016,"Tift County","Tift County","georgia/tift-county",261,160.13793103448276,51
13213,41560,40012,"Georgia","GA",0.03868839348195552,"Murray County","Murray County","georgia/murray-county",344,120.81395348837209,52
13227,37185,33347,"Georgia","GA",0.11509281194710175,"Pickens County","Pickens County","georgia/pickens-county",232,160.2801724137931,53
13145,37158,34900,"Georgia","GA",0.0646991404011461,"Harris County","Harris County","georgia/harris-county",464,80.08189655172414,54
13187,36764,33636,"Georgia","GA",0.0929955999524319,"Lumpkin County","Lumpkin County","georgia/lumpkin-county",283,129.90812720848058,55
13299,36181,36231,"Georgia","GA",-0.001380033672821579,"Ware County","Ware County","georgia/ware-county",899,40.24582869855395,56
13085,35776,27061,"Georgia","GA",0.3220501829200695,"Dawson County","Dawson County","georgia/dawson-county",211,169.55450236966826,57
13177,34218,33218,"Georgia","GA",0.03010416039496655,"Lee County","Lee County","georgia/lee-county",356,96.11797752808988,58
13123,33786,31422,"Georgia","GA",0.0752339125453505,"Gilmer County","Gilmer County","georgia/gilmer-county",426,79.30985915492958,59
13195,33287,30276,"Georgia","GA",0.09945171092614613,"Madison County","Madison County","georgia/madison-county",282,118.03900709219859,60
13305,32815,30146,"Georgia","GA",0.08853579247661392,"Wayne County","Wayne County","georgia/wayne-county",642,51.113707165109034,61
13143,32768,30040,"Georgia","GA",0.09081225033288942,"Haralson County","Haralson County","georgia/haralson-county",282,116.19858156028369,62
13207,32258,28059,"Georgia","GA",0.14964895398980715,"Monroe County","Monroe County","georgia/monroe-county",396,81.45959595959596,63
13311,30280,28114,"Georgia","GA",0.077043465888881,"White County","White County","georgia/white-county",241,125.64315352697095,64
13087,29658,29326,"Georgia","GA",0.01132101207119951,"Decatur County","Decatur County","georgia/decatur-county",597,49.678391959798994,65
13225,29619,28042,"Georgia","GA",0.05623707296198566,"Peach County","Peach County","georgia/peach-county",150,197.46,66
13169,29094,28399,"Georgia","GA",0.024472692700447274,"Jones County","Jones County","georgia/jones-county",394,73.84263959390863,67
13261,29002,29522,"Georgia","GA",-0.01761398279249371,"Sumter County","Sumter County","georgia/sumter-county",483,60.04554865424431,68
13147,28547,25883,"Georgia","GA",0.10292469960978257,"Hart County","Hart County","georgia/hart-county",232,123.04741379310344,69
13293,28451,27740,"Georgia","GA",0.025630857966834952,"Upson County","Upson County","georgia/upson-county",323,88.08359133126935,70
13291,28087,24801,"Georgia","GA",0.13249465747348887,"Union County","Union County","georgia/union-county",322,87.22670807453416,71
13279,27778,27085,"Georgia","GA",0.025586117777367523,"Toombs County","Toombs County","georgia/toombs-county",364,76.31318681318682,72
13257,27741,26816,"Georgia","GA",0.03449433174224348,"Stephens County","Stephens County","georgia/stephens-county",179,154.9776536312849,73
13035,27379,25554,"Georgia","GA",0.07141739062377717,"Butts County","Butts County","georgia/butts-county",184,148.79891304347825,74
13131,26412,26227,"Georgia","GA",0.007053799519578963,"Grady County","Grady County","georgia/grady-county",454,58.17621145374449,75
13111,25792,25437,"Georgia","GA",0.01395604827613317,"Fannin County","Fannin County","georgia/fannin-county",387,66.64599483204134,76
13119,25601,23477,"Georgia","GA",0.09047152532265623,"Franklin County","Franklin County","georgia/franklin-county",261,98.08812260536398,77
